call_id,agent_id,call_date,handle_time_sec,csat_score,resolved,sla_met
1,1,2024-01-05,240,5,t,t
2,1,2024-01-08,220,5,t,t
3,1,2024-01-12,260,4,t,t
4,1,2024-02-03,230,5,t,t
5,1,2024-02-14,245,4,t,t
6,2,2024-01-06,235,5,t,t
7,2,2024-01-15,225,5,t,t
8,2,2024-02-07,240,4,t,t
9,2,2024-02-20,230,5,t,t
10,2,2024-03-05,250,4,t,t
11,3,2024-01-07,310,3,t,t
12,3,2024-01-18,340,3,f,f
13,3,2024-02-09,320,3,t,t
14,3,2024-02-22,355,2,f,f
15,3,2024-03-08,330,3,t,t
16,5,2024-01-09,480,2,f,f
17,5,2024-01-19,510,1,f,f
18,5,2024-02-11,490,2,f,f
19,5,2024-02-25,520,1,f,f
20,5,2024-03-10,500,2,f,f
21,27,2024-01-10,470,2,f,f
22,27,2024-01-22,505,1,f,f
23,27,2024-02-13,488,2,f,f
24,27,2024-03-01,515,1,f,f
25,27,2024-03-15,495,2,f,f
26,4,2023-10-01,380,2,f,f
27,4,2023-10-15,400,1,f,f
28,4,2023-11-01,420,1,f,f
29,4,2023-11-15,410,2,f,f
30,4,2023-12-01,430,1,f,f
31,9,2023-10-05,370,2,f,f
32,9,2023-10-20,390,1,f,f
33,9,2023-11-05,410,1,f,f
34,9,2023-11-20,400,2,f,f
35,9,2023-12-05,420,1,f,f
36,6,2024-01-05,230,5,t,t
37,6,2024-01-15,220,5,t,t
38,6,2024-02-05,240,4,t,t
39,6,2024-02-18,225,5,t,t
40,6,2024-03-03,235,4,t,t
41,7,2024-01-07,240,4,t,t
42,7,2024-01-18,230,5,t,t
43,7,2024-02-08,245,4,t,t
44,7,2024-02-21,235,5,t,t
45,7,2024-03-06,250,4,t,t
46,10,2024-01-08,460,2,f,f
47,10,2024-01-20,490,1,f,f
48,10,2024-02-10,475,2,f,f
49,10,2024-02-24,505,1,f,f
50,10,2024-03-09,488,2,f,f
51,11,2024-01-06,235,5,t,t
52,11,2024-01-17,225,4,t,t
53,11,2024-02-06,245,5,t,t
54,11,2024-02-19,230,4,t,t
55,11,2024-03-04,240,5,t,t
56,12,2024-01-08,240,4,t,t
57,12,2024-01-19,230,5,t,t
58,12,2024-02-09,250,4,t,t
59,12,2024-02-22,235,4,t,t
60,12,2024-03-07,245,5,t,t
61,14,2024-01-10,470,2,f,f
62,14,2024-01-23,500,1,f,f
63,14,2024-02-12,485,2,f,f
64,14,2024-02-26,510,1,f,f
65,14,2024-03-11,495,2,f,f
66,15,2024-01-11,465,2,f,f
67,15,2024-01-24,495,1,f,f
68,15,2024-02-13,480,2,f,f
69,15,2024-02-27,508,1,f,f
70,15,2024-03-12,492,2,f,f
71,16,2024-01-05,225,5,t,t
72,16,2024-01-16,215,5,t,t
73,16,2024-02-05,235,4,t,t
74,16,2024-02-17,220,5,t,t
75,16,2024-03-03,230,4,t,t
76,17,2024-01-07,235,4,t,t
77,17,2024-01-18,225,5,t,t
